"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Earliest Priority Date,Title,Applicants,Inventors,Owners,URL,Legal Status
625,CN,A,CN 115232214 A,083-923-645-921-322,2022-10-25,2022,CN 202211016730 A,2022-08-16,2022-08-16,Bispecific antibody as well as preparation method and application thereof,GUANGZHOU BAIWOSI BIOTECHNOLOGY CO LTD,SUN RUIXIA;;JIA JIA;;ZHANG JING,,https://lens.org/083-923-645-921-322,PENDING
626,CN,A,CN 102153700 A,145-585-740-911-331,2011-08-17,2011,CN 201110027054 A,2011-03-16,2011-03-16,Preparation of hydrophilic polymer and application thereof in detecting mercury ions based on change of fluorescence and color,UNIV JIANGNAN,JING LUO;;SISI JIANG;;CHAO GOU;;HAIQIANG WU;;YU WANG;;BAOQING WANG;;SHAOHUI QIN;;XIAOYA LIU,,https://lens.org/145-585-740-911-331,DISCONTINUED
627,CN,A,CN 106046012 A,071-494-120-660-790,2016-10-26,2016,CN 201610530444 A,2016-07-06,2016-07-06,Novel coumarin bio-thiol fluorescent probe and preparation method thereof,UNIV QILU TECHNOLOGY,ZHANG DATONG;;WANG XIAOBEI,,https://lens.org/071-494-120-660-790,INACTIVE
628,CN,U,CN 209680084 U,028-902-718-730-758,2019-11-26,2019,CN 201920347589 U,2019-03-18,2019-03-18,Array type synthesizer and ink-jet synthesizer,INST MILITARY MEDICINE ACADEMY MILITARY SCIENCES PLA,WANG SHENGQI;;XIAO RUI;;RONG ZHEN;;ZHANG LIJIE;;LIU LIYAN;;PENG YONGJIN,,https://lens.org/028-902-718-730-758,ACTIVE
629,CN,U,CN 204816591 U,059-298-771-777-615,2015-12-02,2015,CN 201520560397 U,2015-07-30,2015-07-30,Multi -functional laboratory ice chest,LANZHOU INST ANIMAL SCIENCE & VETERINARY PHARMACEUTICS CAAS,QIN ZHE;;LI JIANYONG;;LIU XIWANG;;LI SHIHONG;;YANG YAJUN;;KONG XIAOJUN,,https://lens.org/059-298-771-777-615,INACTIVE
630,US,A1,US 2008/0213574 A1,096-324-632-159-487,2008-09-04,2008,US 83093407 A,2007-07-31,2006-08-01,Amphiphilic Fibers and Membranes and Processes for Preparing Them,MCKEE MATTHEW G;;LAYMAN JOHN M;;HUNLEY MATTHEW T;;CASHION MATTHEW P;;LONG TIMOTHY E,MCKEE MATTHEW G;;LAYMAN JOHN M;;HUNLEY MATTHEW T;;CASHION MATTHEW P;;LONG TIMOTHY E,VIRGINIA TECH INTELLECTUAL PROPERTIES (2008-09-26);;VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY (2008-08-15),https://lens.org/096-324-632-159-487,DISCONTINUED
631,CN,A,CN 102925556 A,180-167-556-584-702,2013-02-13,2013,CN 201210372120 A,2012-09-29,2012-09-29,Kit for detecting mRNA expression quantity of m BCR fusion gene,TONG YONGQING;;LI YAN,TONG YONGQING;;LI YAN,,https://lens.org/180-167-556-584-702,ACTIVE
632,CN,A,CN 103571858 A,033-838-157-290-832,2014-02-12,2014,CN 201210262070 A,2012-07-27,2012-07-27,"Paeonia lactiflora geranylgeranyl diphosphate synthase (PLGGPS) gene, and coded product and application thereof",INST CHINESE MATERIA MEDICA CHINA ACADEMY OF CMS,HUANG LUQI;;YUAN YUAN;;WANG ZHOUYONG,,https://lens.org/033-838-157-290-832,INACTIVE
633,CN,A,CN 106554961 A,176-028-728-216-195,2017-04-05,2017,CN 201510621152 A,2015-09-25,2015-09-25,Anaerobic clostridium xylan induction type promoter and applications thereof,QINGDAO INST BIOENERGY & BIOPROCESS TECHNOLOGY CAS,XU CHENGGANG;;TENG LIN;;XU JIAN,,https://lens.org/176-028-728-216-195,ACTIVE
634,CN,A,CN 105203672 A,034-315-827-320-089,2015-12-30,2015,CN 201510755237 A,2015-11-04,2015-11-04,Quality assurance and identification method for high-quality strawberries,JIANGSU ACAD AGRICULTURAL SCI,HUANG WUYANG;;YAN ZHENG;;LI CHUNYANG;;WANG XINGNA;;WANG FAN,,https://lens.org/034-315-827-320-089,ACTIVE
635,CN,A,CN 115073615 A,121-822-328-143-997,2022-09-20,2022,CN 202210785290 A,2022-06-29,2022-06-29,Construction method of artificial organelle capable of improving catalytic efficiency of cell factory,UNIV DALIAN TECH;;NINGBO INSTITUTE OF DALIAN UNIV OF TECHNOLOGY,XUE CHUANG;;KANG WEI;;MA XIAO;;LIU CHUNXUE,,https://lens.org/121-822-328-143-997,PENDING
636,WO,A1,WO 2013/086015 A1,126-078-684-547-727,2013-06-13,2013,US 2012/0067978 W,2012-12-05,2011-12-05,MEDICAL ORGANOGEL PROCESSES AND COMPOSITIONS,INCEPT LLC,EL-HAYEK RAMI;;JARRETT PETER;;SAWHNEY AMARPREET S,,https://lens.org/126-078-684-547-727,PENDING
637,EP,B1,EP 3180122 B1,019-337-148-818-604,2018-12-26,2018,EP 15749870 A,2015-08-07,2014-08-11,DROPLET SORTING,SPHERE FLUIDICS LTD,SMITH CLIVE ADRIAN;;LI XIN;;CRAIG FRANK F,,https://lens.org/019-337-148-818-604,ACTIVE
638,WO,A1,WO 2006/135992 A1,001-628-653-692-877,2006-12-28,2006,BE 2006000071 W,2006-06-23,2005-06-24,METHOD AND MEANS FOR DETECTING AND/OR QUANTIFYING HIERARCHICAL MOLECULAR CHANGE OF A CELL IN RESPONSE TO AN EXTERNAL STIMULUS,EPPENDORF ARRAY TECH SA;;REMACLE JOSE;;BERTHOLET VINCENT;;MARGAINE SYLVAIN;;DELONGUEVILLE FRANCOISE;;VAN HUFFEL CHRISTOPHE;;MAINFROID VERONIQUE;;PLENNEVAUX CHRISTELLE,REMACLE JOSE;;BERTHOLET VINCENT;;MARGAINE SYLVAIN;;DELONGUEVILLE FRANCOISE;;VAN HUFFEL CHRISTOPHE;;MAINFROID VERONIQUE;;PLENNEVAUX CHRISTELLE,,https://lens.org/001-628-653-692-877,PENDING
639,CN,A,CN 113782088 A,145-374-674-410-941,2021-12-10,2021,CN 202110853135 A,2021-07-27,2021-07-27,Design method and device of microRNA receptor sequence,UNIV TSINGHUA,WANG XIAOWO;;WEI LEI,,https://lens.org/145-374-674-410-941,PENDING
640,CN,U,CN 216320291 U,107-658-825-385-672,2022-04-19,2022,CN 202123133259 U,2021-12-14,2021-12-14,Filter applied to reagent bottle container,BEIJING HAIJING GAOKANG TECH CO LTD,WU GUANGXI,,https://lens.org/107-658-825-385-672,ACTIVE
641,CN,A,CN 101486041 A,059-530-577-813-284,2009-07-22,2009,CN 200910024586 A,2009-02-20,2009-02-20,Plant repairing method for soil polluted by heavy metal cadmium,UNIV NANJING,HONGYAN GUO;;JIAHUA LI;;YUANYUAN SUN;;RONG JI;;XIAORONG WANG,,https://lens.org/059-530-577-813-284,DISCONTINUED
642,CN,A,CN 101974440 A,078-972-422-751-303,2011-02-16,2011,CN 201010182948 A,2010-05-26,2010-05-26,Candida parapsilosis fungus and application thereof in production of pu'er tea,UNIV YUNNAN AGRICULTURAL,HONGJIE ZHOU;;ZHENZHEN WEI;;JING ZHUO;;MING ZHAO;;YALI LI;;WENXIA YUAN;;JIAHUA LI;;MING MI,,https://lens.org/078-972-422-751-303,ACTIVE
643,CN,A,CN 110697862 A,100-816-963-344-314,2020-01-17,2020,CN 201911152901 A,2019-11-21,2019-11-21,Method for removing antibiotic resistance genes in effluent of sewage plant by using ginkgo leaf modified bimetal,UNIV BEIJING TECHNOLOGY,GAO JINGFENG;;DUAN WANJUN;;WU ZHILONG;;ZHANG WENZHI;;WANG YUWEI,,https://lens.org/100-816-963-344-314,DISCONTINUED
644,CN,U,CN 213528717 U,148-954-283-368-643,2021-06-25,2021,CN 202022299964 U,2020-10-15,2020-10-15,Distribution system,SHANGHAI GENEPHARMA CO LTD;;SUZHOU GENEPHARMA CO LTD,ZHANG PEIZHUO;;SUN WENMING;;DUAN CHUNXIAO,,https://lens.org/148-954-283-368-643,ACTIVE
645,CN,U,CN 217398846 U,033-686-769-809-455,2022-09-09,2022,CN 202220301183 U,2022-02-15,2022-02-15,Fermentation tank bacterium adding device,SENRUISI BIOTECHNOLOGY SHENZHEN CO LTD,LUO XIAOZHOU;;LI JIA;;LI XIN,,https://lens.org/033-686-769-809-455,ACTIVE
646,CN,A,CN 103936841 A,189-819-291-165-390,2014-07-23,2014,CN 201410025274 A,2009-06-04,2009-06-04,Peptide vaccine used for animal and its preparation,CHINA ANIMAL HUSBANDRY INDUSTRY CO LTD,XIAO JIN;;QI PENG;;LI LIFANG;;LI BINGSHOU;;ZHENG YINGHUA,,https://lens.org/189-819-291-165-390,INACTIVE
647,CN,A,CN 103571857 A,134-455-164-218-189,2014-02-12,2014,CN 201210262067 A,2012-07-27,2012-07-27,"Paeonia lactiflora acetyl-CoA C-acetyltransferase (PLAACT) gene, and coded product and application thereof",INST CHINESE MATERIA MEDICA CHINA ACADEMY OF CMS,HUANG LUQI;;YUAN YUAN;;WANG ZHOUYONG,,https://lens.org/134-455-164-218-189,INACTIVE
648,CN,A,CN 104862369 A,148-703-528-523-976,2015-08-26,2015,CN 201510342082 A,2015-06-19,2015-06-19,"Application of p53 gene to reversing of mouth mucosa malignant melanoma cell malignant characteristics, and in vitro evaluation method for reversing of mouth mucosa malignant melanoma cell malignant characteristics",LI LONGJIANG,LI LONGJIANG;;SUN JUN;;DONG YANG;;LI YI,,https://lens.org/148-703-528-523-976,INACTIVE
649,CN,U,CN 204766767 U,171-888-732-066-079,2015-11-18,2015,CN 201520435395 U,2015-06-23,2015-06-23,Biological artifical liver system of whole blood perfusion,WEST CHINA HOSPITAL SICHUAN UNIV,BAO JI;;BU HONG,,https://lens.org/171-888-732-066-079,INACTIVE
650,CN,A,CN 109486845 A,168-362-999-421-16X,2019-03-19,2019,CN 201811549261 A,2018-12-18,2018-12-18,Method for accurately regulating corynebacterium glutamicum gene expression,UNIV JIANGNAN,LIU WEIJIA;;YU YIHANG;;DUAN YANTING;;HE ZHIYUN;;SUN YUE;;ZHAN YI;;YUAN LILI;;ZHANG XIAOJUAN;;ZHANG XIAOMEI;;XU GUOQIANG;;SHI JINGSONG;;XU ZHENGHONG,,https://lens.org/168-362-999-421-16X,ACTIVE
651,RU,A,RU 94017848 A,132-168-030-016-325,1996-11-27,1996,RU 94017848 A,1994-05-24,1993-05-27,"COMPOSITIONS OF MICROPARTICLES AND APPLICATION OF MICROPARTICLES FOR INJECTIONS, METHODS FOR ADMINISTRATION OF BIOLOGICAL AGENTS",LILLY CO ELI,LIBBI SJU KRAFT;;TOMAS GARRI FERGUSON;;MARK L JUIS KHEJMAN;;VILL JAM VEBSTER TOMPSON,,https://lens.org/132-168-030-016-325,PENDING
652,CN,U,CN 213886238 U,150-326-755-649-043,2021-08-06,2021,CN 202022302349 U,2020-10-15,2020-10-15,Distribution structure,SHANGHAI GENEPHARMA CO LTD;;SUZHOU GENEPHARMA CO LTD,ZHANG PEIZHUO;;SUN WENMING;;DUAN CHUNXIAO,,https://lens.org/150-326-755-649-043,ACTIVE
653,CN,A,CN 104694452 A,017-673-292-289-305,2015-06-10,2015,CN 201510143787 A,2015-03-30,2015-03-30,Recombinant bacillus subtilis of high-yield pullulanase and construction method thereof,SHANGHAI ADVANCED RES INST CAS,SUN JUNSONG;;SHI JIPING;;CHEN CHAO;;JIANG BIAO,,https://lens.org/017-673-292-289-305,ACTIVE
654,CN,A,CN 103304445 A,003-988-182-191-540,2013-09-18,2013,CN 201310206456 A,2013-05-27,2013-05-27,Cation polyglycerol ester lipid and synthetic method and application thereof,UNIV NANJING,ZHANG JUNFENG;;LUO YI;;WANG MIN;;JIANG FENGTAO;;PANG ZHONGHUA;;ZHU QIAN;;CHEN JIANGNING,,https://lens.org/003-988-182-191-540,ACTIVE
655,CN,A,CN 112961196 A,133-185-548-042-73X,2021-06-15,2021,CN 202110176233 A,2021-02-07,2021-02-07,"Preparation method of glycosyl and polypeptide modified 1, 2, 3-triazole compound",UNIV RENMIN CHINA,LYU LEIYANG;;LI ZHIPING,,https://lens.org/133-185-548-042-73X,ACTIVE
656,CN,A,CN 104233798 A,185-760-151-853-707,2014-12-24,2014,CN 201310235867 A,2013-06-16,2013-06-16,Refreshing and ventilating towel softener,QINGDAO JIESHEN WASHING & DYEING TECHNOLOGY INST,JI XIAOLAN;;JIANG SHIWEN,,https://lens.org/185-760-151-853-707,DISCONTINUED
657,RU,C2,RU 2221043 C2,023-452-208-456-798,2004-01-10,2004,RU 2002102856 A,2002-01-31,2002-01-31,CHIMERA PLASMID PZZSA FOR EXPRESSION OF CHIMERA PROTEIN ANGIOGEN AND STRAIN OF ESCHERICHIA COLI BL21(DE3) PZZSA AS PRODUCER OF RECOMBINANT CHIMERA HUMAN PROTEIN ANGIOGEN,MERTVETSOV NIKOLAJ PAVLOVICH;;RAMAZANOV JURIJ AKHMETOVICH,MERTVETSOV N P;;RAMAZANOV JU A;;MAJSTRENKO V F,,https://lens.org/023-452-208-456-798,EXPIRED
658,CN,A,CN 103571855 A,100-823-202-582-364,2014-02-12,2014,CN 201210262201 A,2012-07-27,2012-07-27,"Paeonia lactiflora 3-hydroxy-3-methylglutaryl-CoA reducase (PLHMGR) gene, and coded product and application thereof",INST CHINESE MATERIA MEDICA CHINA ACADEMY OF CMS,HUANG LUQI;;YUAN YUAN;;WANG ZHOUYONG,,https://lens.org/100-823-202-582-364,INACTIVE
659,CN,A,CN 114891727 A,130-660-436-436-25X,2022-08-12,2022,CN 202210406173 A,2022-04-18,2022-04-18,NO microbubble preparation for promoting in-vitro maturation of immature oocytes and method for promoting in-vitro maturation of oocytes,THE 2ND AFFILIATED HOSPITAL OF WMU YUYING CHILDRENS HOSPITAL OF WMU,XI HAITAO;;QIU LIN;;XU QI;;CHEN QISHU;;ZHAO JUNZHAO;;ZHAO YINGZHENG,,https://lens.org/130-660-436-436-25X,PENDING
660,CN,A,CN 112175982 A,165-646-845-959-341,2021-01-05,2021,CN 202011047620 A,2020-09-29,2020-09-29,Gamma-PGA polymerase gene recombinant strain as well as construction method and application thereof,UNIV JIANGNAN,XU ZHENGHONG;;XU GUOQIANG;;CAO RONG;;DUAN YANTING;;WANG JIYUE;;ZHANG XIAOJUAN;;ZHANG XIAOMEI;;SHI JINGSONG,,https://lens.org/165-646-845-959-341,ACTIVE
661,US,B2,US 9085785 B2,003-778-640-337-688,2015-07-21,2015,US 201314033013 A,2013-09-20,2008-11-06,Use of oxyhydrogen microorganisms for non-photosynthetic carbon capture and conversion of inorganic and/or C1 carbon sources into useful organic compounds,KIVERDI INC,REED JOHN S;;DYSON LISA,KIVERDI INC (2013-02-06),https://lens.org/003-778-640-337-688,ACTIVE
662,WO,A1,WO 2019/202135 A1,151-288-534-555-627,2019-10-24,2019,EP 2019060210 W,2019-04-18,2018-04-18,MICROFLUIDIC METHOD FOR SINGLE CELL ANALYSIS,HIFIBIO SAS,GÉRARD ANNABELLE;;MENRATH VERA,,https://lens.org/151-288-534-555-627,PENDING
663,EP,B1,EP 2911788 B1,002-919-058-355-186,2018-12-05,2018,EP 13785591 A,2013-10-25,2012-10-25,DROPLET ASSEMBLY METHOD,UNIV OXFORD INNOVATION LTD,BAYLEY JOHN HAGAN PRYCE;;SAPRA KUNWAR TANUJ;;WAUER TOBIAS;;GERLACH HOLGER;;MANTRI SHIKSHA;;HILL JAMIE,OXFORD UNIVERSITY INNOVATION LIMITED (2017-03-08),https://lens.org/002-919-058-355-186,ACTIVE
664,WO,A1,WO 2022/047228 A1,009-761-166-688-321,2022-03-03,2022,US 2021/0048053 W,2021-08-27,2020-08-28,"SYSTEMS AND METHODS FOR MEASURING, LEARNING, AND USING EMERGENT PROPERTIES OF COMPLEX ADAPTIVE SYSTEMS",EMERJA CORP,MILLER GUY;;HANSEN DANIEL;;COLVIN SKIP,,https://lens.org/009-761-166-688-321,PENDING
665,CN,A,CN 114539390 A,059-499-333-852-540,2022-05-27,2022,CN 202210198822 A,2022-03-02,2022-03-02,"Recombinant III-type humanized collagen C3 as well as expression vector, expression strain, expression method and application thereof",GUANGZHOU MENGNE BIOTECHNOLOGY CO LTD,LI JIA;;ZHANG GUANGXIAN;;HUANG JIAWEN,,https://lens.org/059-499-333-852-540,PENDING
666,CN,A,CN 103782802 A,067-936-393-991-975,2014-05-14,2014,CN 201410029430 A,2014-01-18,2014-01-18,Method for conducting industrialized production on Morchella esculenta,ZHU DOUXI;;HE RONGHUA,ZHU DOUXI;;HE RONGHUA,,https://lens.org/067-936-393-991-975,DISCONTINUED
667,CN,A,CN 103571859 A,120-392-304-097-849,2014-02-12,2014,CN 201210262089 A,2012-07-27,2012-07-27,"Paeonia lactiflora 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (PLIspE) gene, and coded product and application thereof",INST CHINESE MATERIA MEDICA CHINA ACADEMY OF CMS,HUANG LUQI;;YUAN YUAN;;WANG ZHOUYONG,,https://lens.org/120-392-304-097-849,INACTIVE
668,CN,A,CN 105985925 A,059-281-054-042-287,2016-10-05,2016,CN 201510096765 A,2015-03-04,2015-03-04,Full-function artificial organ fit body and preparation and culture methods thereof,LIU CHANG,LIU CHANG,,https://lens.org/059-281-054-042-287,INACTIVE
669,CN,A,CN 113925763 A,035-793-297-681-217,2022-01-14,2022,CN 202111414835 A,2021-11-25,2021-11-25,Field energy wave brain maintenance instrument,HAINAN TIANYUAN CHANGNENG SCIENCE AND TECH CENTER LIMITED PARTNERSHIP,SU XIUHONG;;SHI JUSHENG,,https://lens.org/035-793-297-681-217,PENDING
670,CN,A,CN 106554960 A,042-342-349-257-321,2017-04-05,2017,CN 201510621010 A,2015-09-25,2015-09-25,Anaerobic clostridium constitutive high-efficient expression promoter and application thereof,QINGDAO INST BIOENERGY & BIOPROCESS TECHNOLOGY CAS,XU CHENGGANG;;TENG LIN;;XU JIAN,,https://lens.org/042-342-349-257-321,ACTIVE
671,RU,C2,RU 2608638 C2,131-367-864-921-968,2017-01-23,2017,RU 2014149849 A,2014-12-10,2014-12-10,METHOD OF PRODUCING PLANTING MATERIAL OF BOBOVNIK ANAGYROID,FED GOSUDARSTVENNOE BYUDZHETNOE OBRAZOVATELNOE UCHREZHDENIE VYSSHEGO OBRAZOVANIYA SARATOVSKIJ NATSIO,TIMOFEEVA SVETLANA NIKOLAEVNA;;ELKONIN LEV ALEKSANDROVICH;;TYRNOV VALERIJ STEPANOVICH,,https://lens.org/131-367-864-921-968,ACTIVE
672,CN,A,CN 103571860 A,045-319-827-343-51X,2014-02-12,2014,CN 201210262095 A,2012-07-27,2012-07-27,"Paeonia lactiflora 2-C-methyl-D-erythritol-4-cyclodiphaophate synthase (PLIspF) gene, and coded product and application thereof",INST CHINESE MATERIA MEDICA CHINA ACADEMY OF CMS,HUANG LUQI;;YUAN YUAN;;WANG ZHOUYONG,,https://lens.org/045-319-827-343-51X,INACTIVE
673,CN,A,CN 105002188 A,177-384-235-972-053,2015-10-28,2015,CN 201510069358 A,2015-02-10,2015-02-10,Intelligent gradient heat-resistance regulation and control method for microorganisms,BEIJING INST TECHNOLOGY,LI CHUN;;JIA HAIYANG;;SUN HUAN;;SUN XIANGYING;;FENG XUDONG,,https://lens.org/177-384-235-972-053,ACTIVE
674,CN,A,CN 109836377 A,094-056-351-691-53X,2019-06-04,2019,CN 201711223458 A,2017-11-29,2017-11-29,"Nicotinamide adenine dinucleotide analog, and synthesis method and application thereof",DALIAN INST CHEM & PHYSICS CAS,ZHAO ZONGBAO;;LI QING;;LIU WUJUN,,https://lens.org/094-056-351-691-53X,ACTIVE
675,CN,A,CN 108754025 A,118-487-984-260-020,2018-11-06,2018,CN 201810641454 A,2018-06-21,2018-06-21,Kit for specifically detecting lily symptomless virus (LSV) and detection method of kit,COLD & ARID REGIONS ENVIRONMENTAL & ENG RES INST CAS,ZHANG YUBAO;;XIE ZHONGKUI;;WANG YAJUN;;WANG RUOYU;;GUO ZHIHONG;;QIU YANG;;HE YUHUI,,https://lens.org/118-487-984-260-020,PENDING
676,CN,A,CN 114134060 A,182-327-695-082-879,2022-03-04,2022,CN 202111498550 A,2021-12-09,2021-12-09,Four engineering saccharomycetes capable of efficiently synthesizing intermediate products or end products in synthetic route of ginsenoside Ro and method for efficiently synthesizing intermediate products or end products in synthetic route of ginsenoside Ro,UNIVERSITY OF SCIENCE AND TECHNOLOGY BEIJING,FENG XUDONG;;REN SHICHAO;;LI CHUN,,https://lens.org/182-327-695-082-879,PENDING
677,CN,A,CN 113186142 A,173-687-894-789-466,2021-07-30,2021,CN 202110389910 A,2021-04-12,2021-04-12,Escherichia coli engineering strain for efficiently producing 2'-fucosyllactose,UNIV JIANGNAN,MU WANMENG;;ZHANG WENLI;;WAN LI;;ZHU YINGYING,,https://lens.org/173-687-894-789-466,ACTIVE
678,CN,U,CN 2056090 U,190-939-374-980-528,1990-04-18,1990,CN 89215937 U,1989-08-31,1989-08-31,LOW-RESISTANCE AIR FILTER WITHOUT DIVISION PLATE,UNIV TONGJI,HONGYI LONG;;CUNYANG FAN,,https://lens.org/190-939-374-980-528,EXPIRED
679,EP,B1,EP 2278997 B1,045-634-817-009-761,2016-08-10,2016,EP 09734640 A,2009-04-21,2008-04-21,NANOEMULSION INFLUENZA VACCINE,NANOBIO CORP,BAKER JAMES R;;HAMOUDA TAREK;;SUTCLIFFE JOYCE A,,https://lens.org/045-634-817-009-761,ACTIVE
680,CN,A,CN 114107081 A,018-543-559-026-477,2022-03-01,2022,CN 202111442005 A,2021-11-30,2021-11-30,Recombinant yarrowia lipolytica genetically engineered bacterium biotransformed by methanol as well as construction method and application of recombinant yarrowia lipolytica genetically engineered bacterium,NANJING INDUSTRIAL UNIV,ZHANG WENMING;;ZHANG SHANGJIE;;JIANG MIN;;JIANG YUJIA;;DONG WEILIANG;;XIN FENGXUE;;FANG YAN;;MA JIANGFENG;;ZHOU JIE,,https://lens.org/018-543-559-026-477,PENDING
681,CN,A,CN 112100982 A,041-399-450-182-96X,2020-12-18,2020,CN 202010788790 A,2020-08-07,2020-08-07,DNA storage method and system and storage medium,UNIV GUANGZHOU,LIU WENBIN;;ZAN XIANGZHEN;;XU PENG,,https://lens.org/041-399-450-182-96X,PENDING
682,WO,A1,WO 2019/046783 A1,007-747-701-989-107,2019-03-07,2019,US 2018/0049203 W,2018-08-31,2017-08-31,"METHODS OF MAKING AND USING TANDEM, TWIN BARCODE MOLECULES",OHIO STATE INNOVATION FOUNDATION,KIM SANGGU;;YU HANNAH;;BAEK ALICE,,https://lens.org/007-747-701-989-107,PENDING
683,WO,A1,WO 2014/093956 A1,170-256-558-703-332,2014-06-19,2014,US 2013/0075217 W,2013-12-14,2012-12-14,METHODS AND SYSTEMS FOR IN SILICO DESIGN,LIFE TECHNOLOGIES HOLDINGS PTE LTD,CLANCY KEVIN;;SAM KIN CHONG;;GAN KOK HIEN;;ANG HAW SIANG BRANDON;;PALANIAPPAN KALEESWARI,,https://lens.org/170-256-558-703-332,PENDING
684,US,A1,US 2006/0147417 A1,039-424-171-321-584,2006-07-06,2006,US 52606005 A,2005-02-28,2002-08-30,"Immunogenic composition comprising an il-13 element and t cell epitopes, and its therapeutic use",ASHMAN CLAIRE;;ELLIS JONATHAN H,ASHMAN CLAIRE;;ELLIS JONATHAN H,GLAXO GROUP LIMITED (2005-10-15),https://lens.org/039-424-171-321-584,DISCONTINUED
685,RU,C1,RU 2206615 C1,082-444-578-080-636,2003-06-20,2003,RU 2001128285 A,2001-10-22,2001-10-22,METHOD OF PARTIAL DNA SEQUENCING FOR DETECTION OF MUTATIONS IN SHORT FRAGMENTS OF SINGLE-STRANDED DNA USING MICROCHIP,RDTA RAN;;INST MOLEKULJARNOJ BIOLOG IM V,MIRZABEKOV A D;;VASILISKOV V A;;STOMAKHIN A A,,https://lens.org/082-444-578-080-636,EXPIRED
686,WO,A1,WO 2016/145050 A1,045-333-223-951-048,2016-09-15,2016,US 2016/0021519 W,2016-03-09,2015-03-10,MICROFLUIDIC DEVICES HAVING FLEXIBLE FEATURES AND METHODS OF MAKING THE SAME,CARBON3D INC,DESIMONE JOSEPH M;;ROLLAND JASON P,,https://lens.org/045-333-223-951-048,PENDING
687,US,B2,US 10829798 B2,088-958-842-995-920,2020-11-10,2020,US 201515514777 A,2015-09-29,2014-09-29,DNA-linked enzyme-coupled assays,UNIV CALIFORNIA;;SUKOVICH DAVID J;;MODAVI CYRUS,ANDERSON JOHN CHRISTOPHER;;SUKOVICH DAVID J;;MODAVI CYRUS;;DE RAAD MARKUS,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA (2017-10-10),https://lens.org/088-958-842-995-920,ACTIVE
688,CN,A,CN 112481187 A,118-078-316-182-592,2021-03-12,2021,CN 202011618929 A,2020-12-31,2020-12-31,Formic acid and CO2 autotrophic recombinant escherichia coli and construction method thereof,UNIV JIANGSU,FANG ZHEN;;SHA CHONG;;ZHANG RONG;;YU YANGYANG,,https://lens.org/118-078-316-182-592,PENDING
689,RU,C2,RU 2238946 C2,000-673-361-968-727,2004-10-27,2004,RU 2002110800 A,2002-04-22,2002-04-22,"ARTIFICIAL PROTEIN-IMMUNOGEN TCI COMPRISING MULTIPLE CTL-EPITOPES OF HIV-1 BASIC ANTIGENS, ARTIFICIAL GENE TCI ENCODING POLYEPITOPE PROTEIN-IMMUNOGEN TCI",,BAZHAN S I;;BELAVIN P A;;SEREGIN S V;;BABKINA I N;;DANILJUK N K;;SANDAKHCHIEV L S,,https://lens.org/000-673-361-968-727,EXPIRED
690,WO,A1,WO 2020/249814 A1,034-822-984-392-277,2020-12-17,2020,EP 2020066454 W,2020-06-15,2019-06-13,3D BIOPRINTED SKIN TISSUE MODEL,CELLINK AB,BONDESSON ISABELLA;;NAMRO REDWAN ADEL ITEDAL;;MARTINEZ HECTOR;;GATENHOLM ERIK,,https://lens.org/034-822-984-392-277,PENDING
691,CN,A,CN 114990174 A,035-277-198-425-110,2022-09-02,2022,CN 202210557773 A,2022-05-19,2022-05-19,Multi-enzyme catalytic system for de novo synthesis of chitosan oligosaccharide and whole-cell production method thereof,JIANGSU HAIFEI BIOLOGICAL TECH CO LTD,FANG ZHEN;;DING CHUNHUA;;SHA CHONG;;ZHANG WENJIE,,https://lens.org/035-277-198-425-110,PENDING
692,US,A,US 4948731 A,122-006-516-000-927,1990-08-14,1990,US 89348286 A,1986-08-05,1986-08-05,Modified transcriptionally active SP6 plasmid vector,MASSACHUSETTS INST TECHNOLOGY,GEHRKE LEE;;FRALEY ROBERT T;;ROGERS STEPHEN G,MASSACHUSETTS INSTITUTE OF TECHNOLOGY A CORP OF MA (1986-07-15),https://lens.org/122-006-516-000-927,EXPIRED
